[2025-05-03 14:07:19] [32m[I]     9631 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9615 ms	Done time: 9627 ms	Delta Time: 4495 ms	Sync AVG: 9380.30 ms	Done AVG: 9392.30 ms	Sync count: 20	Boot count: 20[0m
[2025-05-03 14:07:49] [32m[I]    10010 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9994 ms	Done time: 10006 ms	Delta Time: 4495 ms	Sync AVG: 9409.52 ms	Done AVG: 9421.52 ms	Sync count: 21	Boot count: 21[0m
[2025-05-03 14:08:19] [32m[I]     9196 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9180 ms	Done time: 9192 ms	Delta Time: 4495 ms	Sync AVG: 9399.09 ms	Done AVG: 9411.09 ms	Sync count: 22	Boot count: 22[0m
[2025-05-03 14:08:49] [32m[I]     9632 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9616 ms	Done time: 9628 ms	Delta Time: 4495 ms	Sync AVG: 9408.52 ms	Done AVG: 9420.52 ms	Sync count: 23	Boot count: 23[0m
[2025-05-03 14:09:19] [32m[I]     9844 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9828 ms	Done time: 9840 ms	Delta Time: 4495 ms	Sync AVG: 9426.00 ms	Done AVG: 9438.00 ms	Sync count: 24	Boot count: 24[0m
[2025-05-03 14:09:48] [32m[I]     9367 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9351 ms	Done time: 9363 ms	Delta Time: 4495 ms	Sync AVG: 9423.00 ms	Done AVG: 9435.00 ms	Sync count: 25	Boot count: 25[0m
[2025-05-03 14:10:18] [32m[I]     9830 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9814 ms	Done time: 9826 ms	Delta Time: 4495 ms	Sync AVG: 9438.04 ms	Done AVG: 9450.04 ms	Sync count: 26	Boot count: 26[0m
[2025-05-03 14:10:48] [32m[I]     9604 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9588 ms	Done time: 9600 ms	Delta Time: 4495 ms	Sync AVG: 9443.59 ms	Done AVG: 9455.59 ms	Sync count: 27	Boot count: 27[0m
[2025-05-03 14:11:18] [32m[I]     9407 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9391 ms	Done time: 9403 ms	Delta Time: 4495 ms	Sync AVG: 9441.71 ms	Done AVG: 9453.71 ms	Sync count: 28	Boot count: 28[0m
[2025-05-03 14:11:48] [32m[I]     9631 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9616 ms	Done time: 9628 ms	Delta Time: 4495 ms	Sync AVG: 9447.72 ms	Done AVG: 9459.72 ms	Sync count: 29	Boot count: 29[0m
[2025-05-03 14:12:18] [32m[I]    10037 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 10020 ms	Done time: 10032 ms	Delta Time: 4495 ms	Sync AVG: 9466.80 ms	Done AVG: 9478.80 ms	Sync count: 30	Boot count: 30[0m
[2025-05-03 14:12:47] [32m[I]     9202 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9186 ms	Done time: 9198 ms	Delta Time: 4495 ms	Sync AVG: 9457.74 ms	Done AVG: 9469.74 ms	Sync count: 31	Boot count: 31[0m
[2025-05-03 14:13:17] [32m[I]     9612 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9596 ms	Done time: 9608 ms	Delta Time: 4495 ms	Sync AVG: 9462.06 ms	Done AVG: 9474.06 ms	Sync count: 32	Boot count: 32[0m
[2025-05-03 14:13:47] [32m[I]     9653 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9638 ms	Done time: 9650 ms	Delta Time: 4495 ms	Sync AVG: 9467.39 ms	Done AVG: 9479.39 ms	Sync count: 33	Boot count: 33[0m
[2025-05-03 14:14:17] [32m[I]     9624 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9608 ms	Done time: 9620 ms	Delta Time: 4495 ms	Sync AVG: 9471.53 ms	Done AVG: 9483.53 ms	Sync count: 34	Boot count: 34[0m
[2025-05-03 14:14:47] [32m[I]     9633 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9617 ms	Done time: 9629 ms	Delta Time: 4495 ms	Sync AVG: 9475.69 ms	Done AVG: 9487.69 ms	Sync count: 35	Boot count: 35[0m
[2025-05-03 14:15:17] [32m[I]     9816 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9800 ms	Done time: 9812 ms	Delta Time: 4495 ms	Sync AVG: 9484.69 ms	Done AVG: 9496.69 ms	Sync count: 36	Boot count: 36[0m
[2025-05-03 14:15:46] [32m[I]     9415 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9399 ms	Done time: 9411 ms	Delta Time: 4495 ms	Sync AVG: 9482.38 ms	Done AVG: 9494.38 ms	Sync count: 37	Boot count: 37[0m
[2025-05-03 14:16:16] [32m[I]     9608 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9592 ms	Done time: 9604 ms	Delta Time: 4495 ms	Sync AVG: 9485.26 ms	Done AVG: 9497.26 ms	Sync count: 38	Boot count: 38[0m
[2025-05-03 14:16:46] [32m[I]     9622 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9606 ms	Done time: 9618 ms	Delta Time: 4495 ms	Sync AVG: 9488.36 ms	Done AVG: 9500.36 ms	Sync count: 39	Boot count: 39[0m
[2025-05-03 14:17:16] [32m[I]     9620 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9604 ms	Done time: 9616 ms	Delta Time: 4495 ms	Sync AVG: 9491.25 ms	Done AVG: 9503.25 ms	Sync count: 40	Boot count: 40[0m
[2025-05-03 14:17:46] [32m[I]     9809 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9793 ms	Done time: 9805 ms	Delta Time: 4495 ms	Sync AVG: 9498.61 ms	Done AVG: 9510.61 ms	Sync count: 41	Boot count: 41[0m
[2025-05-03 14:18:15] [32m[I]     9425 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9409 ms	Done time: 9421 ms	Delta Time: 4495 ms	Sync AVG: 9496.48 ms	Done AVG: 9508.48 ms	Sync count: 42	Boot count: 42[0m
[2025-05-03 14:18:45] [32m[I]     9628 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9612 ms	Done time: 9624 ms	Delta Time: 4495 ms	Sync AVG: 9499.16 ms	Done AVG: 9511.16 ms	Sync count: 43	Boot count: 43[0m
[2025-05-03 14:19:15] [32m[I]     9831 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9814 ms	Done time: 9826 ms	Delta Time: 4495 ms	Sync AVG: 9506.32 ms	Done AVG: 9518.32 ms	Sync count: 44	Boot count: 44[0m
[2025-05-03 14:19:45] [32m[I]     9385 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9369 ms	Done time: 9381 ms	Delta Time: 4495 ms	Sync AVG: 9503.27 ms	Done AVG: 9515.27 ms	Sync count: 45	Boot count: 45[0m
[2025-05-03 14:20:15] [32m[I]     9838 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9822 ms	Done time: 9834 ms	Delta Time: 4495 ms	Sync AVG: 9510.20 ms	Done AVG: 9522.20 ms	Sync count: 46	Boot count: 46[0m
[2025-05-03 14:20:45] [32m[I]     9577 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9561 ms	Done time: 9573 ms	Delta Time: 4495 ms	Sync AVG: 9511.28 ms	Done AVG: 9523.28 ms	Sync count: 47	Boot count: 47[0m
[2025-05-03 14:21:14] [32m[I]     9424 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9408 ms	Done time: 9420 ms	Delta Time: 4495 ms	Sync AVG: 9509.12 ms	Done AVG: 9521.12 ms	Sync count: 48	Boot count: 48[0m
[2025-05-03 14:21:44] [32m[I]     9624 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9608 ms	Done time: 9620 ms	Delta Time: 4495 ms	Sync AVG: 9511.14 ms	Done AVG: 9523.14 ms	Sync count: 49	Boot count: 49[0m
[2025-05-03 14:22:14] [32m[I]     9820 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9804 ms	Done time: 9816 ms	Delta Time: 4495 ms	Sync AVG: 9517.00 ms	Done AVG: 9529.00 ms	Sync count: 50	Boot count: 50[0m
[2025-05-03 14:22:44] [32m[I]     9392 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9376 ms	Done time: 9388 ms	Delta Time: 4495 ms	Sync AVG: 9514.24 ms	Done AVG: 9526.24 ms	Sync count: 51	Boot count: 51[0m
[2025-05-03 14:23:13] [32m[I]     9618 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9603 ms	Done time: 9615 ms	Delta Time: 4495 ms	Sync AVG: 9515.94 ms	Done AVG: 9527.94 ms	Sync count: 52	Boot count: 52[0m
[2025-05-03 14:23:43] [32m[I]     9626 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9611 ms	Done time: 9623 ms	Delta Time: 4495 ms	Sync AVG: 9517.74 ms	Done AVG: 9529.74 ms	Sync count: 53	Boot count: 53[0m
[2025-05-03 14:24:13] [32m[I]     9831 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9815 ms	Done time: 9827 ms	Delta Time: 4495 ms	Sync AVG: 9523.24 ms	Done AVG: 9535.24 ms	Sync count: 54	Boot count: 54[0m
