[2025-05-02 19:17:12] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 285.05 ms	Sync count: 21	Boot count: 21[0m
[2025-05-02 19:17:42] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 285.05 ms	Sync count: 22	Boot count: 22[0m
[2025-05-02 19:18:12] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 285.04 ms	Sync count: 23	Boot count: 23[0m
[2025-05-02 19:18:42] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 285.04 ms	Sync count: 24	Boot count: 24[0m
[2025-05-02 19:19:12] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 285.04 ms	Sync count: 25	Boot count: 25[0m
[2025-05-02 19:19:41] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 285.04 ms	Sync count: 26	Boot count: 26[0m
[2025-05-02 19:20:11] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 285.04 ms	Sync count: 27	Boot count: 27[0m
[2025-05-02 19:20:41] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 285.04 ms	Sync count: 28	Boot count: 28[0m
[2025-05-02 19:21:11] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 285.03 ms	Sync count: 29	Boot count: 29[0m
[2025-05-02 19:21:41] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 285.03 ms	Sync count: 30	Boot count: 30[0m
[2025-05-02 19:22:11] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 285.03 ms	Sync count: 31	Boot count: 31[0m
[2025-05-02 19:22:40] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 285.03 ms	Sync count: 32	Boot count: 32[0m
[2025-05-02 19:23:11] [32m[I]      928 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29075 ms	Sync time: 0 ms	Done time: 925 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 304.42 ms	Sync count: 33	Boot count: 33[0m
[2025-05-02 19:23:40] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 303.85 ms	Sync count: 34	Boot count: 34[0m
[2025-05-02 19:24:10] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 303.31 ms	Sync count: 35	Boot count: 35[0m
[2025-05-02 19:24:40] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 302.81 ms	Sync count: 36	Boot count: 36[0m
