[2025-05-21 13:59:22.230882] xxxxxxets Jul 29 2019 12:21:46
[2025-05-21 13:59:22.231058] 
[2025-05-21 13:59:23.332892] [I]      887 mac.cpp             : 484 | [MAC] Frame sent successfully after retry, waiting for ACK
[2025-05-21 13:59:23.338441] [I]      904 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 13:59:23.348634] [I]      904 mac.cpp             : 510 | [MAC] Timeout d'ACK: 108ms (36096us airtime)
[2025-05-21 13:59:23.456657] [I]     1020 mac.cpp             : 414 | [MAC] ACK timeout
[2025-05-21 13:59:23.462212] [I]     1020 mac.cpp             : 422 | [MAC] Retry 3/3
[2025-05-21 13:59:23.467755] [I]     1031 loraraw.cpp         : 155 | [LR] Set power to -9 dBm
[2025-05-21 13:59:23.475005] [I]     1031 loraraw.cpp         :  57 | [LR] Preparing to send
[2025-05-21 13:59:23.487556] [W]     1050 loraraw.cpp         :  68 | [LR] Channel busy
[2025-05-21 13:59:23.492379] [I]     1056 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 13:59:23.497560] [I]     1056 mac.cpp             : 489 | [MAC] Send failed after retry
[2025-05-21 13:59:23.505902] [I]     1066 mac.cpp             : 524 | [MAC] Waiting chann free (0)
[2025-05-21 13:59:23.511818] [I]     1067 mac.cpp             : 529 | [MAC] Timeout BEB: 100ms
[2025-05-21 13:59:23.517375] [I]     1083 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 13:59:23.614262] [I]     1175 mac.cpp             : 397 | [MAC] Channel now free after BEB, attempting transmission
[2025-05-21 13:59:23.619798] [I]     1176 loraraw.cpp         : 155 | [LR] Set power to -9 dBm
[2025-05-21 13:59:23.625338] [I]     1186 loraraw.cpp         :  57 | [LR] Preparing to send
[2025-05-21 13:59:23.642902] [I]     1205 loraraw.cpp         : 235 | [LR] Packet: 05094E7EFE08050905046BF304009D
[2025-05-21 13:59:23.700588] [I]     1264 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 13:59:23.709492] [I]     1264 mac.cpp             : 484 | [MAC] Frame sent successfully after retry, waiting for ACK
[2025-05-21 13:59:23.715198] [I]     1281 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 13:59:23.725059] [I]     1281 mac.cpp             : 510 | [MAC] Timeout d'ACK: 108ms (36096us airtime)
[2025-05-21 13:59:23.833489] [I]     1397 mac.cpp             : 414 | [MAC] ACK timeout
[2025-05-21 13:59:23.841885] [W]     1397 mac.cpp             : 417 | [MAC] Max retries (3) reached, transmission failed
[2025-05-21 13:59:23.847506] [W]     1408 mac.cpp             : 554 | [MAC] TX error (1)
[2025-05-21 13:59:23.854534] [I]     1414 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 13:59:23.864056] [W]     1414 transport.cpp       : 281 | [TRANSPORT] TX Error for UDP segment 62315 (frame 32334)
[2025-05-21 13:59:23.872445] [I]     1426 routing_table.cpp   :  60 | [RTABLE] Routing table de-initialized. Heap: 327560
[2025-05-21 13:59:23.878016] [I]     1436 mac.cpp             : 108 | [MAC] Deinit
[2025-05-21 13:59:23.883312] [I]     1447 lora.cpp            :  37 | [LORA] Deinit
[2025-05-21 13:59:23.896172] [I]     1460 routing.cpp         :  75 | [ROUTING] Deinitialized
[2025-05-21 13:59:23.903999] [I]     1460 transport.cpp       :  88 | [TRANSPORT] De-initialized
[2025-05-21 13:59:23.905262] Sleeping for 298530 ms
[2025-05-21 14:04:18.778328] ets Jul 29 2019 12:21:46
[2025-05-21 14:04:18.778464] 
[2025-05-21 14:04:18.783564] rst:0x5 (DEEPSLEEP_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
[2025-05-21 14:04:18.786384] configsip: 0, SPIWP:0xee
[2025-05-21 14:04:18.792081] clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
[2025-05-21 14:04:18.794610] mode:DIO, clock div:2
[2025-05-21 14:04:18.797415] load:0x3fff0030,len:1184
[2025-05-21 14:04:18.800219] load:0x40078000,len:13232
[2025-05-21 14:04:18.800290] load:0x40080400,len:3028
[2025-05-21 14:04:18.803811] entry 0x400805e4
[2025-05-21 14:04:18.844692] [     7][D][esp32-hal-cpu.c:244] setCpuFrequencyMhz(): PLL: 480 / 2 = 240 Mhz, APB: 80000000 Hz
[2025-05-21 14:04:18.855656] [I]       19 transport.cpp       :  54 | [TRANSPORT] Initializing...
[2025-05-21 14:04:18.905359] [I]       73 lora.cpp            :  32 | [LORA] Init
[2025-05-21 14:04:18.913494] [I]       73 scheduler.cpp       :  77 | [SCHED] Cleanup started
[2025-05-21 14:04:18.925504] [I]       90 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 14:04:18.931212] [I]       91 loraraw.cpp         :  46 | [LR] Init
