[2025-05-21 11:10:30.596377] ets Jul 29 2019 12:21:46
[2025-05-21 11:10:30.596515] 
[2025-05-21 11:10:31.726242] [I]      919 loraraw.cpp         :  57 | [LR] Preparing to send
[2025-05-21 11:10:31.739195] [I]      938 loraraw.cpp         : 235 | [LR] Packet: 0509F5C0FE0805090504E4420400E7
[2025-05-21 11:10:31.797340] [I]      997 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 11:10:31.806299] [I]      998 mac.cpp             : 484 | [MAC] Frame sent successfully after retry, waiting for ACK
[2025-05-21 11:10:31.814206] [I]     1014 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 11:10:31.822182] [I]     1014 mac.cpp             : 510 | [MAC] Timeout d'ACK: 108ms (36096us airtime)
[2025-05-21 11:10:31.928324] [I]     1129 mac.cpp             : 414 | [MAC] ACK timeout
[2025-05-21 11:10:31.937266] [W]     1129 mac.cpp             : 417 | [MAC] Max retries (3) reached, transmission failed
[2025-05-21 11:10:31.943201] [W]     1140 mac.cpp             : 554 | [MAC] TX error (1)
[2025-05-21 11:10:31.949175] [I]     1146 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 11:10:31.958349] [W]     1146 transport.cpp       : 281 | [TRANSPORT] TX Error for UDP segment 17124 (frame 49397)
[2025-05-21 11:10:31.967325] [I]     1158 routing_table.cpp   :  60 | [RTABLE] Routing table de-initialized. Heap: 327772
[2025-05-21 11:10:31.973266] [I]     1168 mac.cpp             : 108 | [MAC] Deinit
[2025-05-21 11:10:31.978182] [I]     1179 lora.cpp            :  37 | [LORA] Deinit
[2025-05-21 11:10:31.991294] [I]     1192 routing.cpp         :  75 | [ROUTING] Deinitialized
[2025-05-21 11:10:31.998195] [I]     1192 transport.cpp       :  88 | [TRANSPORT] De-initialized
[2025-05-21 11:10:32.000247] Sleeping for 73798 ms
[2025-05-21 11:11:45.011990] ets Jul 29 2019 12:21:46
[2025-05-21 11:11:45.012129] 
[2025-05-21 11:11:45.017366] rst:0x5 (DEEPSLEEP_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
[2025-05-21 11:11:45.019328] configsip: 0, SPIWP:0xee
[2025-05-21 11:11:45.025374] clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
[2025-05-21 11:11:45.027316] mode:DIO, clock div:2
[2025-05-21 11:11:45.029358] load:0x3fff0030,len:1184
[2025-05-21 11:11:45.032323] load:0x40078000,len:13232
[2025-05-21 11:11:45.034318] load:0x40080400,len:3028
[2025-05-21 11:11:45.036286] entry 0x400805e4
[2025-05-21 11:11:45.096613] [    27][D][esp32-hal-cpu.c:244] setCpuFrequencyMhz(): PLL: 480 / 2 = 240 Mhz, APB: 80000000 Hz
[2025-05-21 11:11:45.112266] [I]       38 transport.cpp       :  54 | [TRANSPORT] Initializing...
[2025-05-21 11:11:45.157394] [I]       91 lora.cpp            :  32 | [LORA] Init
[2025-05-21 11:11:45.163292] [I]       91 scheduler.cpp       :  77 | [SCHED] Cleanup started
[2025-05-21 11:11:45.175355] [I]      108 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 11:11:45.180331] [I]      108 loraraw.cpp         :  46 | [LR] Init
[2025-05-21 11:11:45.186346] [I]      119 mac.cpp             : 103 | [MAC] Init
[2025-05-21 11:11:45.196456] [I]      121 routing_table.cpp   :  49 | [RTABLE] Routing table initialized. (4 B, 2 routes) Heap: 328396
[2025-05-21 11:11:45.202376] [I]      131 routing.cpp         :  64 | [ROUTING] Initialized
[2025-05-21 11:11:45.208344] [I]      131 transport.cpp       :  74 | [TRANSPORT] Initialized
[2025-05-21 11:11:45.216389] [W]      142 routing_table.cpp   :  84 | [RTABLE] Route for 0x09 already exists
[2025-05-21 11:11:45.224309] [I]      152 transport.cpp       : 168 | [TRANSPORT] Registered event(s) for port 1
[2025-05-21 11:11:45.231381] [I]      163 transport.cpp       :  93 | [TRANSPORT] Preparing to send
[2025-05-21 11:11:45.241304] [I]      163 transport.cpp       : 368 | [TRANSPORT] SEGMENT: ID=36598 PORT=1 ACKreq=0 ACKResp=0 D-LEN=0 DATA=
[2025-05-21 11:11:45.248342] [I]      173 routing.cpp         :  90 | [ROUTING] Sending packet:
[2025-05-21 11:11:45.257355] [I]      183 routing.cpp         : 299 | [ROUTING] PACKET: SRC=05 DST=09 TTL=5 D-LEN=4 DATA=
[2025-05-21 11:11:45.266286] [I]      194 routing_table.cpp   :  74 | [RTABLE] Queried route for 0x09, through 0x09
[2025-05-21 11:11:45.272349] [I]      204 mac.cpp             : 115 | [MAC] Preparing to send
[2025-05-21 11:11:45.278403] [I]      204 mac.cpp             : 128 | [MAC] PDU ready
[2025-05-21 11:11:45.289272] [I]      215 mac.cpp             : 565 | [MAC] FRAME: TX=05 RX=09 ID=17926 D-LEN=8 DATA=	 CRC=145 ACK=0 RETRY=0
[2025-05-21 11:11:45.296363] [I]      225 mac.cpp             : 141 | [MAC] FSM transmission scheduled
[2025-05-21 11:11:45.304337] [I]      225 routing.cpp         : 132 | [ROUTING] Added packet to send queue (ID: 17926)
[2025-05-21 11:11:45.315351] [I]      236 transport.cpp       : 133 | [TRANSPORT] Scheduled to send segment (Segment ID: 36598, Frame ID: 17926)
[2025-05-21 11:11:45.322360] [I]      255 loraraw.cpp         : 155 | [LR] Set power to -9 dBm
[2025-05-21 11:11:45.328396] [I]      255 loraraw.cpp         :  57 | [LR] Preparing to send
[2025-05-21 11:11:45.342378] [I]      274 loraraw.cpp         : 235 | [LR] Packet: 05090646F80805090504F68E040091
[2025-05-21 11:11:45.400423] [I]      333 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 11:11:45.409262] [I]      334 mac.cpp             : 484 | [MAC] Frame sent successfully, waiting for ACK
[2025-05-21 11:11:45.417341] [I]      350 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 11:11:45.425261] [I]      350 mac.cpp             : 510 | [MAC] Timeout d'ACK: 108ms (36096us airtime)
[2025-05-21 11:11:45.532424] [I]      465 mac.cpp             : 414 | [MAC] ACK timeout
[2025-05-21 11:11:45.537402] [I]      465 mac.cpp             : 422 | [MAC] Retry 1/3
